Scenario Title,Description,Opening Prompt,Expected Keywords (comma-separated),Difficulty,Duration (seconds),LOB,Variation Actor Name,Variation Script,Variation Score,Branching Logic (JSON)
Angry Customer - Billing Dispute,Customer calls about unexpected charges,"I was charged twice for my service this month!","apologize,refund,investigate,credit,account",intermediate,300,Billing,John (Angry),"Customer escalates if not acknowledged within 20 seconds. Use empathy statements and offer resolution.",5,"{""condition"": ""if_no_ack_20s"", ""next_step"": ""escalate""}"
Angry Customer - Billing Dispute,Customer calls about unexpected charges,"I was charged twice for my service this month!","apologize,refund,investigate,credit,account",intermediate,300,Billing,John (Satisfied),"Customer is satisfied after refund is offered and investigation is promised. Close with thank you.",5,"{""condition"": ""refund_offered"", ""next_step"": ""close""}"
Technical Issue - Internet Outage,Customer reports no internet connection,"I haven't had internet for 2 days now! This is unacceptable!","understand,troubleshoot,reboot,technician,schedule,solution,apology",intermediate,360,Technical Support,Sarah (Frustrated),"Customer is upset. Acknowledge quickly, offer troubleshooting steps. If resolved, confirm satisfaction.",5,"{""condition"": ""issue_resolved"", ""next_step"": ""confirm""}"
Technical Issue - Internet Outage,Customer reports no internet connection,"I haven't had internet for 2 days now! This is unacceptable!","understand,troubleshoot,reboot,technician,schedule,solution,apology",intermediate,360,Technical Support,Sarah (Happy),"Customer is satisfied after technician visit is scheduled. Provide ticket number and timeline.",5,"{""condition"": ""tech_scheduled"", ""next_step"": ""close""}"
Service Upgrade Upsell,Customer calls to check account balance,"Hi, I'm just checking my balance and recent charges.","review,upgrade,benefits,cost,savings,recommend,package",basic,240,Sales,Mike (Interested),"Customer shows interest in upgrade. Explain benefits and offer discount. Close sale when ready.",4,"{""condition"": ""interest_high"", ""next_step"": ""upsell""}"
Service Upgrade Upsell,Customer calls to check account balance,"Hi, I'm just checking my balance and recent charges.","review,upgrade,benefits,cost,savings,recommend,package",basic,240,Sales,Mike (Not Interested),"Customer is not interested. Respect decision, ask if anything else can help, close professionally.",3,"{""condition"": ""not_interested"", ""next_step"": ""close""}"
Account Cancellation Prevention,Loyal customer wants to cancel,"I want to cancel my service. I'm switching to a competitor.","understand,regret,offer,retention,loyalty,discount,alternative",advanced,420,Retention,Lisa (Firm),"Customer is determined to leave. Listen to concerns, offer best retention option. If successful, note reason.",5,"{""condition"": ""retention_accepted"", ""next_step"": ""update""}"
Account Cancellation Prevention,Loyal customer wants to cancel,"I want to cancel my service. I'm switching to a competitor.","understand,regret,offer,retention,loyalty,discount,alternative",advanced,420,Retention,Lisa (Cancelled),"Customer cancels despite offers. Process cancellation professionally, ask for feedback.",2,"{""condition"": ""cancellation_confirmed"", ""next_step"": ""close""}"
Payment Processing,Customer wants to add a payment method,"I need to update my payment information on file.","secure,confirm,payment,method,save,verification,complete",basic,180,Payments,Tom (Successful),"Customer successfully adds new payment method. Confirm security measures and thank them.",5,"{""condition"": ""payment_added"", ""next_step"": ""confirm""}"
Payment Processing,Customer wants to add a payment method,"I need to update my payment information on file.","secure,confirm,payment,method,save,verification,complete",basic,180,Payments,Tom (Declined),"Payment method declined. Suggest alternative payment methods or ask for different card.",2,"{""condition"": ""payment_declined"", ""next_step"": ""alternative""}"
